sequence,resolution,fps,bd_vmaf_pct,bd_vmaf_neg_pct,bd_psnr_y_pct,bd_ms_ssim_pct
Beauty,1920x1080,120,-39.83,-9.84,39.20,20.00
Bosphorus,1920x1080,120,-27.20,-6.52,15.58,5.15
HoneyBee,1920x1080,120,-33.67,2.69,35.29,22.59
Jockey,1920x1080,120,-20.83,-5.69,20.38,10.75
ReadySteadyGo,1920x1080,120,-16.40,-4.57,10.61,3.65
ShakeNDry,1920x1080,120,-28.14,-4.62,17.78,6.63
YachtRide,1920x1080,120,-27.31,-7.69,10.80,2.11
mean_n7,,,-27.62,-5.18,21.38,10.13
