sequence,bd_rate_psnr_pct,qp22_baseline_kbps,qp22_enhanced_kbps,qp22_savings_pct,qp22_baseline_psnr,qp22_enhanced_psnr,qp22_psnr_delta,qp27_baseline_kbps,qp27_enhanced_kbps,qp27_savings_pct,qp27_baseline_psnr,qp27_enhanced_psnr,qp27_psnr_delta,qp32_baseline_kbps,qp32_enhanced_kbps,qp32_savings_pct,qp32_baseline_psnr,qp32_enhanced_psnr,qp32_psnr_delta,qp37_baseline_kbps,qp37_enhanced_kbps,qp37_savings_pct,qp37_baseline_psnr,qp37_enhanced_psnr,qp37_psnr_delta
Beauty_1920x1080_120fps_420_8bit_YUV,+27.85,101933.4,26872.8,-73.64,40.4865,38.6209,-1.8657,17310.3,12019.7,-30.56,39.1531,38.3898,-0.7633,6897.8,6107.9,-11.45,38.3601,37.9379,-0.4221,3710.2,3331.7,-10.20,37.1876,37.0999,-0.0877
Bosphorus_1920x1080_120fps_420_8bit_YUV,+17.57,24460.0,18410.8,-24.73,43.8579,40.7714,-3.0865,11576.2,10591.4,-8.51,41.5397,39.9469,-1.5928,6069.4,5853.0,-3.57,38.9457,38.4054,-0.5403,3430.2,3345.3,-2.47,36.3802,36.3832,+0.0030
HoneyBee_1920x1080_120fps_420_8bit_YUV,+28.54,10222.7,5788.6,-43.38,42.5954,40.5212,-2.0742,2836.9,2687.3,-5.28,41.4884,40.1211,-1.3673,1512.7,1446.6,-4.37,40.0957,39.4434,-0.6524,912.2,844.7,-7.41,38.2011,38.2449,+0.0438
Jockey_1920x1080_120fps_420_8bit_YUV,+26.32,27045.3,20890.9,-22.76,43.2738,40.6356,-2.6382,12599.6,12139.1,-3.65,41.9954,40.2927,-1.7027,7383.3,7324.3,-0.80,40.2966,39.4619,-0.8347,4769.7,4697.5,-1.51,38.0802,37.9011,-0.1791
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,+19.66,44497.1,33788.7,-24.07,43.3627,39.1371,-4.2257,24660.8,22301.1,-9.57,40.7105,38.4421,-2.2684,14277.5,13843.4,-3.04,37.7440,36.8555,-0.8885,8437.4,8303.3,-1.59,34.8438,34.6536,-0.1902
ShakeNDry_1920x1080_120fps_420_8bit_YUV,+26.39,54498.9,37213.6,-31.72,41.7768,38.5963,-3.1805,25072.2,22587.4,-9.91,39.6493,37.9763,-1.6729,11310.8,11102.4,-1.84,37.1700,36.5691,-0.6009,4596.5,4761.5,+3.59,34.6069,34.6372,+0.0303
YachtRide_1920x1080_120fps_420_8bit_YUV,+23.31,76758.4,50916.4,-33.67,43.1114,38.4193,-4.6920,41128.8,35622.8,-13.39,40.1815,37.8210,-2.3605,21444.5,20471.8,-4.54,37.0915,36.1088,-0.9826,10854.3,10632.2,-2.05,34.1583,33.9039,-0.2543
