sequence,bd_rate_vmaf_pct,qp22_baseline_kbps,qp22_enhanced_kbps,qp22_savings_pct,qp22_baseline_vmaf,qp22_enhanced_vmaf,qp22_vmaf_delta,qp27_baseline_kbps,qp27_enhanced_kbps,qp27_savings_pct,qp27_baseline_vmaf,qp27_enhanced_vmaf,qp27_vmaf_delta,qp32_baseline_kbps,qp32_enhanced_kbps,qp32_savings_pct,qp32_baseline_vmaf,qp32_enhanced_vmaf,qp32_vmaf_delta,qp37_baseline_kbps,qp37_enhanced_kbps,qp37_savings_pct,qp37_baseline_vmaf,qp37_enhanced_vmaf,qp37_vmaf_delta
Beauty_1920x1080_120fps_420_8bit_YUV,-39.83,101930.4,97643.6,-4.21,92.4751,97.6878,+5.2127,17307.3,19601.4,+13.26,86.2660,91.7603,+5.4943,6901.9,7586.3,+9.92,77.4477,83.2355,+5.7878,3715.4,4064.6,+9.40,65.3841,70.9320,+5.5479
Bosphorus_1920x1080_120fps_420_8bit_YUV,-27.20,24460.0,26640.3,+8.91,94.9157,99.9810,+5.0654,11576.2,12392.5,+7.05,90.2347,96.2164,+5.9817,6069.4,6456.1,+6.37,81.3051,87.1997,+5.8945,3430.2,3662.8,+6.78,67.6990,73.2289,+5.5299
HoneyBee_1920x1080_120fps_420_8bit_YUV,-33.67,10221.1,11723.0,+14.69,93.6491,96.9362,+3.2871,2832.9,3048.5,+7.61,89.5814,93.4538,+3.8724,1514.6,1574.3,+3.94,83.3086,87.7113,+4.4027,911.2,931.3,+2.20,73.4440,78.4553,+5.0113
Jockey_1920x1080_120fps_420_8bit_YUV,-20.83,27017.9,29180.4,+8.00,98.6147,99.9957,+1.3810,12606.3,13929.1,+10.49,96.6453,99.2945,+2.6492,7383.9,8001.4,+8.36,90.4649,95.9314,+5.4664,4783.6,5248.0,+9.71,78.0831,83.0437,+4.9606
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,-16.40,44500.4,46174.1,+3.76,99.9459,100.0000,+0.0541,24659.2,25512.3,+3.46,99.8507,99.9816,+0.1309,14273.5,14788.7,+3.61,98.0266,99.5181,+1.4915,8443.1,8724.6,+3.33,88.4417,92.4463,+4.0046
ShakeNDry_1920x1080_120fps_420_8bit_YUV,-28.14,54517.2,58198.4,+6.75,93.9395,98.6939,+4.7544,25083.3,27239.7,+8.60,87.4263,92.9906,+5.5643,11309.6,12619.1,+11.58,76.4583,82.6910,+6.2328,4602.5,5266.0,+14.42,61.2641,67.4362,+6.1721
YachtRide_1920x1080_120fps_420_8bit_YUV,-27.31,76762.1,79835.0,+4.00,98.7027,100.0000,+1.2973,41133.0,42859.8,+4.20,93.7237,99.2346,+5.5109,21450.6,22452.7,+4.67,84.0264,89.8036,+5.7772,10861.5,11437.6,+5.30,69.0404,74.0887,+5.0483
