sequence,bd_rate_ms_ssim_pct,qp22_baseline_kbps,qp22_enhanced_kbps,qp22_savings_pct,qp22_baseline_ms_ssim,qp22_enhanced_ms_ssim,qp22_ms_ssim_delta,qp27_baseline_kbps,qp27_enhanced_kbps,qp27_savings_pct,qp27_baseline_ms_ssim,qp27_enhanced_ms_ssim,qp27_ms_ssim_delta,qp32_baseline_kbps,qp32_enhanced_kbps,qp32_savings_pct,qp32_baseline_ms_ssim,qp32_enhanced_ms_ssim,qp32_ms_ssim_delta,qp37_baseline_kbps,qp37_enhanced_kbps,qp37_savings_pct,qp37_baseline_ms_ssim,qp37_enhanced_ms_ssim,qp37_ms_ssim_delta
Beauty_1920x1080_120fps_420_8bit_YUV,20.00,101930.4,97643.6,-4.21,0.9857,0.9838,-0.0020,17307.3,19601.4,+13.26,0.9757,0.9754,-0.0003,6901.9,7586.3,+9.92,0.9703,0.9696,-0.0007,3715.4,4064.6,+9.40,0.9616,0.9624,+0.0008
Bosphorus_1920x1080_120fps_420_8bit_YUV,5.15,24460.0,26640.3,+8.91,0.9937,0.9924,-0.0013,11576.2,12392.5,+7.05,0.9880,0.9874,-0.0006,6069.4,6456.1,+6.37,0.9766,0.9776,+0.0010,3430.2,3662.8,+6.78,0.9568,0.9597,+0.0030
HoneyBee_1920x1080_120fps_420_8bit_YUV,22.59,10221.1,11723.0,+14.69,0.9932,0.9914,-0.0018,2832.9,3048.5,+7.61,0.9908,0.9895,-0.0014,1514.6,1574.3,+3.94,0.9872,0.9867,-0.0005,911.2,931.3,+2.20,0.9804,0.9811,+0.0007
Jockey_1920x1080_120fps_420_8bit_YUV,10.75,27017.9,29180.4,+8.00,0.9916,0.9898,-0.0017,12606.3,13929.1,+10.49,0.9874,0.9867,-0.0007,7383.9,8001.4,+8.36,0.9800,0.9804,+0.0004,4783.6,5248.0,+9.71,0.9647,0.9664,+0.0018
ReadySteadyGo_1920x1080_120fps_420_8bit_YUV,3.65,44500.4,46174.1,+3.76,0.9964,0.9953,-0.0012,24659.2,25512.3,+3.46,0.9933,0.9927,-0.0007,14273.5,14788.7,+3.61,0.9866,0.9869,+0.0003,8443.1,8724.6,+3.33,0.9739,0.9755,+0.0016
ShakeNDry_1920x1080_120fps_420_8bit_YUV,6.63,54517.2,58198.4,+6.75,0.9934,0.9913,-0.0021,25083.3,27239.7,+8.60,0.9874,0.9865,-0.0009,11309.6,12619.1,+11.58,0.9747,0.9761,+0.0014,4602.5,5266.0,+14.42,0.9511,0.9554,+0.0043
YachtRide_1920x1080_120fps_420_8bit_YUV,2.11,76762.1,79835.0,+4.00,0.9941,0.9925,-0.0016,41133.0,42859.8,+4.20,0.9880,0.9873,-0.0006,21450.6,22452.7,+4.67,0.9751,0.9762,+0.0011,10861.5,11437.6,+5.30,0.9510,0.9546,+0.0036
